-BEGIN HEADER-,,,,,,,,,,,,,,
WS50M,2020,4.73,4.95,4.18,3.91,4.22,5.05,4.27,6.27,3.3,4.02,4.49,3.77,4.43
WS50M,2021,3.97,4.29,4.39,3.7,5.31,5.73,5.7,4.64,4.67,3.59,4.05,4.06,4.51
PRECTOTCORR,2011,0,0.37,0.13,0.46,0.26,3.35,9.32,8.16,4.21,0.57,0,0.03,2.26
PRECTOTCORR,2012,0.14,0,0,0.12,0.12,4,10.2,6.97,6.98,1.44,0.44,0.04,2.55
PRECTOTCORR,2013,0.41,0.77,0.08,0.82,0.37,9.16,18.23,5.01,4.06,4.3,0.18,0,3.64
PRECTOTCORR,2014,0.02,0.57,2.12,0.4,1.29,2.41,7.82,5.07,5.12,0.25,0.15,0.14,2.13
PRECTOTCORR,2015,0.95,0.44,0.95,1.84,0.36,6.89,3.89,7.42,4.11,0.32,0,0,2.27
PRECTOTCORR,2016,0.02,0.33,0.55,0.35,1.02,6.76,12.79,2.93,7.93,1.95,0,0,2.89
PRECTOTCORR,2017,0,0,0.61,0,0.73,6.43,7.68,4.84,3.89,1.95,0.14,0,2.2
PRECTOTCORR,2018,0,0.33,0.16,0.18,0.57,5.98,7.85,11.94,2.14,0,0,0.48,2.49
PRECTOTCORR,2019,0.54,0.05,0.1,0.12,0.03,2.77,9.35,8.29,5.98,3,0.12,0.13,2.56
PRECTOTCORR,2020,0.59,0.21,0.97,0.43,0.9,5.76,10.43,8.46,4.9,2,0.04,0,2.91
PRECTOTCORR,2021,0,0,0,0.27,0.9,9.09,11.34,6.56,11,1.41,0.47,0.16,3.44
WS10M_RANGE,2011,4.52,6.41,6.94,7.32,9.7,9.84,8.41,8.47,7.96,4.46,4.34,6.38,9.98
WS10M_RANGE,2012,6.89,6.9,7.69,9.09,10.41,9.41,10.39,10.78,7.47,4.7,6.36,5.4,11.95
WS10M_RANGE,2013,5.99,6.86,9.41,6.54,10.33,10.97,8.38,10.39,8.16,6.59,5.48,5.82,11.43
WS10M_RANGE,2014,6.61,7.47,6.68,7.41,8.65,10.42,10.17,8.6,10.05,7.91,5.99,5.69,11.57
WS10M_RANGE,2015,6.2,6.19,6.41,7.82,11.22,10.25,8.61,8.69,9.04,4.42,7.12,5.62,11.46
WS10M_RANGE,2016,7.05,7.31,6.78,8.62,10.27,9.21,11.88,8.32,5.65,5.97,4.22,5.55,12.38
WS10M_RANGE,2017,5.71,6.95,7.76,8.32,9.42,8.29,8.16,7.55,5.16,5.09,5.39,6,9.52
WS10M_RANGE,2018,5.26,6.17,6.2,7.43,8.88,9.77,9.31,10.05,8.2,6.83,4.12,7.05,11.3
WS10M_RANGE,2019,5.72,6.34,7.2,8.34,8.23,8.87,10.84,9.6,7.8,4.41,4.16,5.54,10.88
WS10M_RANGE,2020,6.16,6.07,6.68,7.09,9.37,11.04,8.78,8.98,7.05,7.62,5.41,4.84,11.13
WS10M_RANGE,2021,4.52,5.27,6.51,6,10.46,9.11,9.57,9.21,7.45,5.66,4.61,4.86,10.54
ALLSKY_SFC_UV_INDEX,2011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2019,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2020,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2021,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
