-BEGIN HEADER-,,,,,,,,,,,,,,
WS50M,2020,4.57,4.53,4.13,4.52,4.69,5.16,4.55,6.04,3.52,4.16,4.09,2.59,4.38
WS50M,2021,3.29,3.61,4,4.29,5.45,5.66,5.6,4.49,4.52,4.02,3.56,3.39,4.33
PRECTOTCORR,2011,0,0.44,0.06,0.17,0.46,2.83,6.71,6.45,2.34,0.55,0.03,0.02,1.69
PRECTOTCORR,2012,0.07,0,0.01,0.29,0.12,2.96,9.3,7.61,5.39,1.95,0.7,0,2.38
PRECTOTCORR,2013,0.11,0.91,0.01,1.33,0.51,6.94,13.21,5.14,4.8,6.67,0.26,0,3.34
PRECTOTCORR,2014,0,0.18,2.08,0.39,1.93,1.8,5.08,4.68,3.97,0.53,0.09,0.03,1.74
PRECTOTCORR,2015,0.87,0.09,0.83,1.27,0.22,5,3.22,3.26,3.52,0.33,0.01,0,1.55
PRECTOTCORR,2016,0.07,0.31,0.11,0.21,1.15,6.44,9.94,3.39,8.24,2.91,0,0.01,2.73
PRECTOTCORR,2017,0,0,0.74,0.03,0.94,7,8.65,5.12,3.73,3.36,0.38,0,2.51
PRECTOTCORR,2018,0,0.08,0.13,0.51,0.71,5.47,7.55,10.87,2.43,0.08,0,0.67,2.4
PRECTOTCORR,2019,0.6,0.02,0.04,0.68,0.14,2.48,7,11.18,7.06,5.01,0.2,0.04,2.9
PRECTOTCORR,2020,0.26,0.2,0.68,0.6,1.46,6.67,10.15,16.63,7.62,4.06,0.14,0,4.06
PRECTOTCORR,2021,0,0,0,0.41,1.4,8.37,11.78,5.63,9.61,1.05,1.47,0.04,3.32
WS10M_RANGE,2011,5.02,6.61,6.31,7.93,8.43,10.5,7.55,8.87,7.75,5.63,4.71,6.31,10.5
WS10M_RANGE,2012,6.61,6.66,6.48,7.53,10.49,10.09,9.39,9.86,7.05,6.7,5.82,5.63,10.59
WS10M_RANGE,2013,5.52,6.2,7.27,6.87,10.65,11.25,9.17,8.84,7.26,6.77,6.26,5.31,11.97
WS10M_RANGE,2014,5.75,7.07,5.45,7.77,8.92,10.74,9.87,8.7,8.61,9.52,6.35,5.08,10.85
WS10M_RANGE,2015,6.05,6.27,7.44,8.18,9.61,12.08,9.38,8.86,8.69,5.1,6.71,6.09,12.39
WS10M_RANGE,2016,6.62,7.45,7.08,7.39,11.27,9.29,11.78,8.94,7.05,5.97,4.97,4.45,12
WS10M_RANGE,2017,5.52,5.14,6.08,7.13,9.84,8.12,9.57,8.72,5.6,4.93,5.14,5.04,9.96
WS10M_RANGE,2018,4.42,6.93,5.9,6.83,8.48,8.48,10.59,8.51,10.65,8.11,4.29,7.32,10.72
WS10M_RANGE,2019,6.02,6.48,8.34,6.83,8.64,9.34,10.13,9.55,8.62,4.23,4.49,5.13,10.34
WS10M_RANGE,2020,6.18,7.16,6.87,7.19,8.03,8.2,6.89,8.22,5.87,10.77,5.22,3.83,10.85
WS10M_RANGE,2021,4.73,5.44,5.88,6.98,10.43,9.91,9.6,8.32,7.5,5.74,4.37,5.27,10.43
ALLSKY_SFC_UV_INDEX,2011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2019,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2020,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2021,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
