-BEGIN HEADER-,,,,,,,,,,,,,,
WS50M,2020,4.3,4.35,4.15,4.66,4.99,5.08,4.56,5.71,3.86,4.43,4.41,2.79,4.44
WS50M,2021,2.95,3.05,3.34,4.13,5.27,5.62,5.57,4.23,4.05,3.91,3.91,3.48,4.13
PRECTOTCORR,2011,0,0.61,0.01,0.31,1.17,2.91,5.25,6.7,0.99,0.85,0.03,0.11,1.59
PRECTOTCORR,2012,0.38,0,0.06,0.68,0.9,2.91,7.1,5.41,6.31,2.4,1.96,0,2.35
PRECTOTCORR,2013,0.01,1.2,0,1.2,0.48,5.81,6.65,7,4.8,10.35,0.95,0,3.22
PRECTOTCORR,2014,0,0.17,1.09,0.1,2.14,0.76,4.09,4.45,2.9,2.36,0.41,0.05,1.56
PRECTOTCORR,2015,0.17,0,0.29,0.68,0.13,5.64,2.71,3.22,3.28,0.68,0.5,0.01,1.44
PRECTOTCORR,2016,0.05,0.13,0.02,0.02,1.95,8.85,5.8,3.81,7.83,2.05,0,0.05,2.54
PRECTOTCORR,2017,0,0,0.37,0.06,2.49,7.32,10.51,7.62,4.71,2.34,0.19,0,2.99
PRECTOTCORR,2018,0,0,0.05,0.94,0.87,4.97,6.87,8.43,1.94,0.27,0.08,1.49,2.18
PRECTOTCORR,2019,0.73,0.04,0.11,1.07,0.56,2.09,5.17,8.09,5.62,4.13,0.16,0.15,2.35
PRECTOTCORR,2020,0.16,0.18,0.61,0.87,0.99,6.01,10.72,17.64,7.94,6.78,1.21,0,4.45
PRECTOTCORR,2021,0,0,0,1.1,1.67,7,10.64,5.59,8.09,1.46,1.81,0,3.12
WS10M_RANGE,2011,4.92,6.07,6.55,8.42,8.29,9.26,8.16,8.2,7.38,5.45,5.14,6.72,9.4
WS10M_RANGE,2012,6.3,5.9,6.56,8.01,8.55,9.94,8.4,8.26,6.66,6.05,8.3,5.56,10.52
WS10M_RANGE,2013,5.73,6.64,6.62,6.92,9.8,9.24,8.23,9.2,5.83,7.64,6.4,5.3,10.23
WS10M_RANGE,2014,5.58,6.53,5.65,7.59,8.38,10.61,8.77,8.82,9.05,10.23,5.8,5.19,10.67
WS10M_RANGE,2015,5.05,7.92,8.08,8.62,9.68,11.25,8.88,7.07,7.05,6.45,6.87,6.34,11.42
WS10M_RANGE,2016,6.31,7.78,8.32,8.7,10.76,9.71,9.39,8.37,7.22,5.43,5.38,6.29,11.2
WS10M_RANGE,2017,4.73,5.52,7.11,7.5,9.59,7.56,9.92,11.07,7.29,5.77,5.86,4.66,11.3
WS10M_RANGE,2018,3.73,5.82,6.11,7.68,8.32,8.38,8.67,9.21,9.9,8.11,5.05,8.05,9.91
WS10M_RANGE,2019,6.19,6.44,7.92,7.46,8.34,10.35,9.74,9.46,8.48,4.62,5.06,5.77,10.48
WS10M_RANGE,2020,6.31,5.64,7.48,8.08,9.23,8.03,7.55,8.09,5.77,8.66,6.27,3.7,9.33
WS10M_RANGE,2021,4.27,5.27,5.48,6.09,10.34,10.05,11.11,7.66,6.91,5.2,5.18,5.54,11.23
ALLSKY_SFC_UV_INDEX,2011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2019,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2020,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2021,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
