-BEGIN HEADER-,,,,,,,,,,,,,,
WS50M,2020,4.93,5.2,4.19,4.31,4.48,5.64,5.2,6.73,3.87,4.23,4.77,4.15,4.8
WS50M,2021,4.34,4.63,4.88,4.16,5.45,6.19,6.16,4.84,5.16,3.76,4.33,4.16,4.84
PRECTOTCORR,2011,0,0.28,0.12,0.12,0.2,2.35,9.08,7.76,2.9,1.22,0.05,0,2.03
PRECTOTCORR,2012,0.04,0,0,0.25,0.19,3.71,7.21,5.65,5.36,1.7,0.65,0,2.07
PRECTOTCORR,2013,0.27,0.78,0.02,1.23,0.45,6.87,14.7,4.17,4.2,4.94,0.32,0,3.18
PRECTOTCORR,2014,0,0.33,2.3,0.43,1.74,2.31,5.33,5.76,3.71,0.47,0.16,0.13,1.9
PRECTOTCORR,2015,0.4,0.4,0.72,2.37,0.28,3.92,2.16,5.36,3.02,0.39,0.01,0,1.59
PRECTOTCORR,2016,0.03,0.08,0.09,0.26,0.83,4.83,6.67,2.08,9.34,1.67,0,0,2.15
PRECTOTCORR,2017,0,0,0.28,0.03,0.32,4.22,5.02,5.22,2.35,2.62,0.06,0,1.69
PRECTOTCORR,2018,0,0.03,0.03,0.42,1.01,4.64,3.38,7.56,1.55,0.23,0,0.27,1.61
PRECTOTCORR,2019,0.29,0.02,0.08,0.19,0.15,2.19,6.67,6.36,6.38,4.13,0.13,0.04,2.24
PRECTOTCORR,2020,0.32,0.06,0.5,0.34,1.16,5.69,6.48,7.02,6.87,3.77,0.06,0,2.7
PRECTOTCORR,2021,0,0,0,0.37,1.51,5.63,11.81,5.33,10.8,1.65,0.34,0.02,3.13
WS10M_RANGE,2011,5.23,6.98,6.12,6.95,9.09,9.88,8.19,9.31,8.42,5.21,5.06,6.55,10.34
WS10M_RANGE,2012,6.92,6.93,6.58,9.14,10.59,9.33,9.08,9.23,8.12,8.48,7.93,5.69,10.59
WS10M_RANGE,2013,5.74,6.37,9.15,7.32,9.41,10.28,8.67,9.27,8.72,7.79,4.94,6.41,10.41
WS10M_RANGE,2014,6.31,7.02,6.37,6.9,7.97,9.93,9.99,8.38,8.45,8.09,6.8,5.01,10.76
WS10M_RANGE,2015,6.34,6.44,7.01,6.96,9.85,11.07,9.03,10.12,9.17,5.27,6.45,6.18,11.41
WS10M_RANGE,2016,6.27,8.66,6.3,6.78,10.27,8.36,11.41,9.66,6.82,5.56,4.83,5.66,12.41
WS10M_RANGE,2017,5.24,6.91,7.96,7.46,9.08,8.98,8.43,8.28,6.1,5.36,5.38,5.95,9.84
WS10M_RANGE,2018,5.12,6.37,5.82,6.25,9.63,9.73,8.75,9.34,7.53,7.77,4.54,6.52,9.79
WS10M_RANGE,2019,6.43,6.56,7.21,6.48,9.45,9.66,10.91,10.4,8.49,4.02,3.82,4.75,11.41
WS10M_RANGE,2020,6.38,7.23,7.37,6.34,8.76,10.96,9.12,9.48,8.05,9.65,5.82,4.92,11.18
WS10M_RANGE,2021,5.46,6.12,5.64,5.98,9.76,9.15,11.31,8.8,9.52,5.85,5.23,4.87,11.4
ALLSKY_SFC_UV_INDEX,2011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2019,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2020,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ALLSKY_SFC_UV_INDEX,2021,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
